query	passage	bad_query	motivation
theory for functional group test for aldehyde and ketones	"2,4-Dinitrophenylhydrazine can be used to qualitatively detect the carbonyl functionality of a ketone or aldehyde functional group. A positive test is signalled by the formation of a yellow, orange or red precipitate (known as a dinitrophenylhydrazone). If the carbonyl compound is aromatic, then the precipitate will be red; if aliphatic, then the precipitate will have a more yellow color.[2] The reaction between 2,4-dinitrophenylhydrazine and a generic ketone to form a hydrazone is shown below:"	"    ""What does this chemical test do?"""	"Lacks chemical context and assumes prior knowledge of the test name."","
where did they film the show the crossing	The Crossing is an American science fiction thriller series that airs on ABC and CTV. The series debuted on April 2, 2018.[1] On March 20, 2018, ABC released the pilot episode on their website.[2] The series is filmed in British Columbia, Canada.	"    ""Where was The Crossing shot?"""	"Acceptable surface-level query, but doesn’t explore production context or relevance."","
the cold dry winds that blow over northern india in winter are called	Around September, with the sun fast retreating south, the northern land mass of the Indian subcontinent begins to cool off rapidly. With this air pressure begins to build over northern India, the Indian Ocean and its surrounding atmosphere still holds its heat. This causes the cold wind to sweep down from the Himalayas and Indo-Gangetic Plain towards the vast spans of the Indian Ocean south of the Deccan peninsula. This is known as the Northeast Monsoon or Retreating Monsoon.	"    ""What are the winter winds in India called?"""	"Fails to clarify the regional or meteorological nature of the winds."","
what was the first form of manga in japan	"The history of manga is said to originate from scrolls dating back to the 12th century, and it is believed they represent the basis for the right-to-left reading style. The word first came into common usage in the late 18th century. Manga is a Japanese term that can be translated as ""comic""; Historians and writers on manga history have described two broad and complementary processes shaping modern manga. Their views differ in the relative importance they attribute to the role of cultural and historical events following World War II versus the role of pre-war, Meiji, and pre-Meiji Japanese culture and art."	"    ""When did manga start in Japan?"""	"Too general; doesn’t specify whether the question is about terminology, art style, or historical artifacts."","
when did the animal rights movement began in the us	In the United States, there is an Animal Welfare Act that was produced in 1966. This law protects animals in acts of research, transportation, and sale. Generally, animals are protected from any torture, neglect, or killing. There have been many amendments made towards this act to keep it updated. In order to be charged for animal abuse, there has to be prosecution and a trial. While there is only one act covering the entire United States, there are more current laws surrounding animal rights, which vary by state. Even though there are policies and severe consequences, the laws are not normally enforced with as much force or timeliness as regular crime.[36]	"    ""When did animal rights laws start in the U.S.?"""	"    ""Vague wording — could refer to legislation, activism, or general awareness."","
who performed the halftime show at super bowl 51	The Super Bowl LI Halftime show took place on February 5, 2017, at NRG Stadium in Houston, Texas as part of Super Bowl LI. The show was headlined by Lady Gaga, who performed a medley of her songs, including newer material from her most recent studio album Joanne.	"""Who performed at the Super Bowl 51 halftime show?"""	"    ""The structure is technically correct but lacks deeper information need (e.g., performance details)."","
who is a defendant and who is a plaintiff	"A plaintiff (Î  in legal shorthand) is the party who initiates a lawsuit (also known as an action) before a court. By doing so, the plaintiff seeks a legal remedy, and if successful, the court will issue judgment in favor of the plaintiff and make the appropriate court order (e.g., an order for damages). ""Plaintiff"" is the term used in civil cases in most English-speaking jurisdictions, the notable exception being England and Wales, where a plaintiff has, since the introduction of the Civil Procedure Rules in 1999, been known as a ""claimant"", but that term also has other meanings. In criminal cases, the prosecutor brings the case against the defendant, but the key complaining party is often called the ""complainant""."	"    ""What is a plaintiff and a defendant?"""	"    ""Overly basic; could be answered by a dictionary without requiring passage comprehension."","
who took over for batman when his back was broken	"""Knightfall"" is a 1993-1994 Batman story arc published by DC Comics. It consists of a trilogy of storylines that ran from 1993 to 1994, consisting of ""Knightfall"", ""Knightquest"", and ""KnightsEnd"".[note 1] The story takes place over approximately six months. Bruce Wayne (Batman) suffers burnout and is systematically assaulted and crippled by a ""super steroid""-enhanced genius named Bane. Wayne is replaced as Batman by an apprentice named Jean-Paul Valley (a.k.a. Azrael), who becomes increasingly violent and unstable, tarnishing Batman's reputation. Eventually, Wayne is healed through paranormal means, and reclaims his role as Batman."	"    ""Who became Batman after Bruce Wayne was hurt?"""	"    ""Missing specificity — doesn’t reference the storyline or alternate identity clearly."","
when was pac man released in the us	"Pac-Man (Japanese: パックマン, Hepburn: Pakkuman), stylized as PAC-MAN, is an arcade game developed by Namco and first released in Japan in May 1980.[2][3] It was created by Japanese video game designer Toru Iwatani. It was licensed for distribution in the United States by Midway Games and released in October 1980. Immensely popular from its original release to the present day, Pac-Man is considered one of the classics of the medium, and an icon of 1980s popular culture.[6][7][8][9] Upon its release, the game—and, subsequently, Pac-Man derivatives—became a social phenomenon[10] that yielded high sales of merchandise and inspired a legacy in other media, such as the Pac-Man animated television series and the top-ten Buckner and Garcia hit single ""Pac-Man Fever"".[11] Pac-Man was popular in the 1980s and 1990s and is still played in the 2010s."	"    ""When was Pac-Man released in the U.S.?"""	"    ""Adequate fact-based query, but doesn't challenge or link to historical impact or licensing."","
steve martin the jerk tonight you belong to me	"It was also performed by Steve Martin and Bernadette Peters in the 1979 movie The Jerk. Jazz ukulele player Lyle Ritz actually played the ukulele accompaniment for the scene. On the 26th Anniversary DVD re-release there is a tutorial by Ukulele Gal on how to play ""Tonight You Belong to Me"" on the ukulele."	"    ""Who sang 'Tonight You Belong to Me' in The Jerk?"""	"    ""Assumes the user already knows the song appears in that movie — not ideal for retrieval."""
